[acm] A Networking Perspective on Starlink's Self-Driving LEO Mega-Constellation  (doi=10.1145/3570361.3592519)
[ieee] Dynamic Topology Control Strategy for LEO Mega-constellation Networks  (doi=10.1109/tvt.2026.3660872)
[ieee] Efficient Cross-Orbital Link Construction for Low-Delay Communication in LEO Satellite Networks  (doi=10.1109/tvt.2026.3653802)
[ieee] End-to-End QKD using LEO Satellite Networks  (doi=10.1109/qcnc69040.2026.00142)
[ieee] Energy-Efficiency Optimization in Relay Link Transmissions of Ground Relay Stations in Satellite Mobile Communication Networks  (doi=10.1109/jiot.2026.3668427)
[ieee] https://ieeexplore.ieee.org/document/11363135  (doi=)
[ieee] https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10703111&tag=1  (doi=)
[ieee] https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=11347545  (doi=)
[ieee] https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9685355&tag=1  (doi=)
[ieee] https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9766060&tag=1&tag=1  (doi=)
[ieee] Interruption Tolerance Strategy for LEO Constellation With Optical Inter-Satellite Link  (doi=10.1109/tnsm.2023.3274638)
[ieee] Intersatellite LED-Based Optical Wireless Communications for CubeSats  (doi=10.1109/taes.2026.3660611)
[ieee] Iris: Toward Intelligent Reliable Routing for Software-Defined Satellite Networks  (doi=10.1109/tcomm.2024.3429166)
[ieee] Joint Optimization in Heterogeneous Mobile Edge-Satellite-Cloud Continuum  (doi=10.1109/twc.2026.3682951)
[ieee] LEO Satellite Networks: When Do All Shortest Distance Paths Belong to Minimum Hop Path Set?  (doi=10.1109/taes.2022.3143090)
[ieee] Matchmaker: Maintaining QoS-Aware and Predictable Load Balancing Performance for LEO Mega-Constellations  (doi=10.1109/tcomm.2025.3618176)
[ieee] Mega-Constellation Design for Integrated Satellite-Terrestrial Networks for Global Seamless Connectivity  (doi=10.1109/lwc.2022.3171574)
[ieee] Minimum-hop Constellation Design for Low Earth Orbit Satellite Networks  (doi=10.1109/infocom55648.2025.11044684)
[ieee] Modeling and Analysis for Multiple-Layer LEO Satellite Internet of Things Constellations  (doi=10.1109/twc.2026.3672191)
[ieee] On an Intelligent Collaborative Computation Strategy for Low Earth Orbit Satellite Edge Computing Networks  (doi=10.1109/jiot.2026.3668721)
[ieee] On-Demand and Scalable Topology Control Service for LEO Satellite Network Evolving  (doi=10.1109/tsc.2025.3576690)
[ieee] Optimization for Dynamic Laser Inter-Satellite Link Scheduling With Routing: A Multi-Agent Deep Reinforcement Learning Approach  (doi=10.1109/tcomm.2023.3347775)
[ieee] Optimizing Resource Utilization and Performance in LEO Satellite Edge Computing: A Joint Service Deployment and Task Offloading Approach  (doi=10.1109/jiot.2026.3668808)
[ieee] Regional Resource Management for Service Provisioning in LEO Satellite Networks: A Topology Feature-Based DRL Approach  (doi=10.1109/globecom59602.2025.11432300)
[ieee] Satellite Maneuver-Aware TCP Congestion Control  (doi=10.1109/globecom59602.2025.11431670)
[ieee] STARDIS: Strategic Scheduling and Deceptive Signaling for Satellite Intrusion Detection System Deployment  (doi=10.1109/jsac.2026.3669579)
[ieee] Stochastic Geometry Analysis and Optimization for Multi-LEO Satellite-Assisted Communications  (doi=10.1109/tvt.2026.3690149)
[ieee] Time- Dependent Network Topology Optimization for LEO Satellite Constellations  (doi=10.1109/infocom55648.2025.11044725)
[ieee] Time-Varying Microservice Orchestration With Routing for Dynamic Call Graphs via Multi-Scale Deep Reinforcement Learning  (doi=10.1109/tsc.2025.3597631)
[ieee] Topological Design and Optimization of ISLs in LEO Constellations Using Covering Space and Generator  (doi=10.1109/taes.2025.3647820)
[ieee] Your Mega-Constellations Can Be Slim: A Cost-Effective Approach for Constructing Survivable and Performant LEO Satellite Networks  (doi=10.1109/infocom52122.2024.10621083)
[ios-press] ESA's activities towards a short‐range laser communications terminal  (doi=10.3233/scc-1998-193)
[ios-press] Future optical ISL characteristics from the perspective of large commercial constellations  (doi=10.3233/scc-1998-191)
[kluedo-rptu] https://kluedo.ub.rptu.de/frontdoor/deliver/index/docId/9280/file/dissertation_EricJedermann_finalVersion.pdf  (doi=)
[optica] Hybrid 10/100 Gbps laser inter-satellite link planning in optical satellite networks  (doi=10.1364/jocn.583119)
[readcube] https://www.readcube.com/library/c6941287-8b74-4846-b73d-c45ed677046e:26db03ad-dad6-4f7e-834d-d1ef4502fce2  (doi=)
[readcube] https://www.readcube.com/library/c6941287-8b74-4846-b73d-c45ed677046e:2bcb56a1-0994-45cd-bd26-883137c6d28d  (doi=)
[readcube] https://www.readcube.com/library/c6941287-8b74-4846-b73d-c45ed677046e:3636ed86-eca2-4c70-a7ce-176f13652ea9  (doi=)
[readcube] https://www.readcube.com/library/c6941287-8b74-4846-b73d-c45ed677046e:6bf06749-cc7a-4412-86db-29de58f13019  (doi=)
[readcube] https://www.readcube.com/library/c6941287-8b74-4846-b73d-c45ed677046e:bcbc165b-f639-4b26-881d-a87ba597acb0  (doi=)
[readcube] https://www.readcube.com/library/c6941287-8b74-4846-b73d-c45ed677046e:d2713c07-064a-4787-a0c2-6f963553eef6  (doi=)
[readcube] https://www.readcube.com/library/c6941287-8b74-4846-b73d-c45ed677046e:e949b63a-922a-46c4-973e-30b3774888d2  (doi=)
[science-partner] A Review on All-Optical Switching in Intersatellite Laser Communication  (doi=10.34133/adi.0097)
[spie] Characterization of an APD-based OEO receiver architecture with the NRL SDA OCT reference modem  (doi=10.1117/12.3045939)
[spie] Characterization of an avalanche photodiode–based optical-electrical-optical receiver architecture with the Space Development Agency optical communication terminal reference modem  (doi=10.1117/1.oe.64.6.064105)
[spie] CubeSat optical crosslink  (doi=10.1117/12.3046136)
[spie] Design and implementation of a cross-domain content caching and distribution architecture for mega-constellation satellite internet  (doi=10.1117/12.3074435)
[spie] Enabling multiple access free space optical communications through solid state beam directing  (doi=10.1117/12.3053470)
[spie] Operation of the NRL-SDA optical communication terminal testbed  (doi=10.1117/12.3047685)
[spie] Results of SDA-standard-compatible optical inter-satellite link testing between Kepler Communications LEO satellites  (doi=10.1117/12.3043717)
[spie] Space development agency burst mode on-off keyed waveform for long range intersatellite optical communications  (doi=10.1117/12.3049995)
[spie] System model of a miniaturized laser communication terminal  (doi=10.1117/12.3044892)
[springer] Learning to schedule dynamic job-shop problems by graph attention network with reinforcement learning  (doi=10.1007/s10489-025-06949-6)
[springer] On the Impact of Intrinsic Delay Variation Sources on Iridium LEO Constellation  (doi=10.1007/978-3-030-69069-4_18)
[springer] Optimization design of two-layer Walker constellation for LEO navigation augmentation using a dynamic multi-objective differential evolutionary algorithm based on elite guidance  (doi=10.1007/s10291-022-01366-5)
[techrxiv] Autonomous Management Method for Satellite Networks: Domain Partitioning Based on Coalition Game in Mega-LEO Constellations  (doi=10.36227/techrxiv.174889043.31982307/v1)
[usenix] https://www.usenix.org/system/files/atc25-basak.pdf  (doi=)
[wos] https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001511207700001  (doi=)
[wos] https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001511207700014  (doi=)
[wos] https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:001511207700059  (doi=)
